[09:38:20] 1080x898 matrix with 153075 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg3_train.txt
[('max_depth', 1), ('eta', 0.1), ('silent', 1), ('gamma', 1.0), ('objective', 'reg:linear'), ('eval_metric', 'rmse')]
[0]     train-rmse:66.8599      eval-rmse:65.7149
Multiple eval metrics have been passed: 'eval-rmse' will be used for early stopping.

Will train until eval-rmse hasn't improved in 100 rounds.
[404]   train-rmse:16.0668      eval-rmse:23.9189
[405]   train-rmse:16.0607      eval-rmse:23.9032
[406]   train-rmse:16.0547      eval-rmse:23.9013
[407]   train-rmse:16.0484      eval-rmse:23.9391
[408]   train-rmse:16.0422      eval-rmse:23.9055
[409]   train-rmse:16.0361      eval-rmse:23.8851
[410]   train-rmse:16.03        eval-rmse:23.922
[411]   train-rmse:16.024       eval-rmse:23.9033
[412]   train-rmse:16.0177      eval-rmse:23.9184
[413]   train-rmse:16.0116      eval-rmse:23.9184
[414]   train-rmse:16.0055      eval-rmse:23.9105
[415]   train-rmse:15.9993      eval-rmse:23.9042
[416]   train-rmse:15.9929      eval-rmse:23.8901
[417]   train-rmse:15.9871      eval-rmse:23.89
[418]   train-rmse:15.9813      eval-rmse:23.8891
[419]   train-rmse:15.9753      eval-rmse:23.8784
[420]   train-rmse:15.9692      eval-rmse:23.8725
[421]   train-rmse:15.9633      eval-rmse:23.8528
[422]   train-rmse:15.9574      eval-rmse:23.8283
[423]   train-rmse:15.9516      eval-rmse:23.8115
[424]   train-rmse:15.9456      eval-rmse:23.7984
[425]   train-rmse:15.9396      eval-rmse:23.8286
[426]   train-rmse:15.9338      eval-rmse:23.8131
[427]   train-rmse:15.928       eval-rmse:23.8201
[428]   train-rmse:15.922       eval-rmse:23.8163
[429]   train-rmse:15.9162      eval-rmse:23.8265
[430]   train-rmse:15.9104      eval-rmse:23.8344
[431]   train-rmse:15.9045      eval-rmse:23.8436
[432]   train-rmse:15.8989      eval-rmse:23.8291
[433]   train-rmse:15.8931      eval-rmse:23.8286
[434]   train-rmse:15.8876      eval-rmse:23.8286
[435]   train-rmse:15.8821      eval-rmse:23.8185
[436]   train-rmse:15.8761      eval-rmse:23.8008
